Open,Close,Diff.,Diff. Dec.,Diff. %,Result
-205,-210,-5,0.024390244,2.43902439,0
-105,-127,-22,0.20952381,20.95238095,1
-210,-230,-20,0.095238095,9.523809524,1
-210,-215,-5,0.023809524,2.380952381,0
-115,-122,-7,0.060869565,6.086956522,0
-165,-185,-20,0.121212121,12.12121212,0
170,165,-5,-0.029411765,2.941176471,1
149,140,-9,-0.060402685,6.040268456,0
-115,-118,-3,0.026086957,2.608695652,0
-105,-108,-3,0.028571429,2.857142857,0
-105,-109,-4,0.038095238,3.80952381,1
-140,-150,-10,0.071428571,7.142857143,1
-105,-118,-13,0.123809524,12.38095238,0
243,210,-33,-0.135802469,13.58024691,0
213,190,-23,-0.107981221,10.79812207,0
109,-119,-228,-2.091743119,25.68807339,0
115,114,-1,-0.008695652,0.869565217,1
120,-109,-229,-1.908333333,24.16666667,0
-110,-114,-4,0.036363636,3.636363636,0
-165,-172,-7,0.042424242,4.242424242,0
144,149,5,0.034722222,3.472222222,0
100,-112,-212,-2.12,12,0
-110,-118,-8,0.072727273,7.272727273,1
-225,-220,5,-0.022222222,2.222222222,1
-210,-210,0,0,0,1
163,152,-11,-0.067484663,6.748466258,0
151,142,-9,-0.059602649,5.960264901,1
155,156,1,0.006451613,0.64516129,1
-165,-162,3,-0.018181818,1.818181818,1
115,118,3,0.026086957,2.608695652,0
110,105,-5,-0.045454545,4.545454545,1
105,-104,-209,-1.99047619,8.571428571,1
-115,-130,-15,0.130434783,13.04347826,0
105,105,0,0,0,1
120,102,-18,-0.15,15,1
-110,-112,-2,0.018181818,1.818181818,0
-170,-186,-16,0.094117647,9.411764706,1
207,190,-17,-0.082125604,8.212560386,0
1124,180,-944,-0.839857651,66.19217082,1
-160,-178,-18,0.1125,11.25,0
130,120,-10,-0.076923077,7.692307692,0
-165,-170,-5,0.03030303,3.03030303,0
151,150,-1,-0.006622517,0.662251656,1
-110,-116,-6,0.054545455,5.454545455,0
-120,-124,-4,0.033333333,3.333333333,1
100,-105,-205,-2.05,5,0
-110,-116,-6,0.054545455,5.454545455,0
-140,-151,-11,0.078571429,7.857142857,1
184,173,-11,-0.059782609,5.97826087,1
100,100,0,0,0,0
155,132,-23,-0.148387097,14.83870968,1
-130,-152,-22,0.169230769,16.92307692,1
140,135,-5,-0.035714286,3.571428571,0
-105,-125,-20,0.19047619,19.04761905,0
-210,-230,-20,0.095238095,9.523809524,1
-110,-113,-3,0.027272727,2.727272727,0
105,105,0,0,0,0
-120,-123,-3,0.025,2.5,1
-155,-155,0,0,0,1
135,106,-29,-0.214814815,21.48148148,0
-115,-127,-12,0.104347826,10.43478261,0
-150,-155,-5,0.033333333,3.333333333,1
120,113,-7,-0.058333333,5.833333333,0
100,103,3,0.03,3,1
120,113,-7,-0.058333333,5.833333333,1
192,170,-22,-0.114583333,11.45833333,0
135,130,-5,-0.037037037,3.703703704,1
-110,-108,2,-0.018181818,1.818181818,0
245,245,0,0,0,0
-150,-155,-5,0.033333333,3.333333333,0
-130,-137,-7,0.053846154,5.384615385,0
-145,-150,-5,0.034482759,3.448275862,1
163,158,-5,-0.030674847,3.067484663,0
-190,-200,-10,0.052631579,5.263157895,1
-110,-108,2,-0.018181818,1.818181818,1
-160,-170,-10,0.0625,6.25,1
-130,-164,-34,0.261538462,26.15384615,1
100,-115,-215,-2.15,15,1
-150,-148,2,-0.013333333,1.333333333,0
100,-118,-218,-2.18,18,0
-175,-170,5,-0.028571429,2.857142857,1
100,-112,-212,-2.12,12,1
-185,-185,0,0,0,1
-190,-185,5,-0.026315789,2.631578947,0
135,132,-3,-0.022222222,2.222222222,1
170,175,5,0.029411765,2.941176471,1
163,155,-8,-0.049079755,4.90797546,1
130,122,-8,-0.061538462,6.153846154,1
163,165,2,0.012269939,1.226993865,0
-151,-150,1,-0.006622517,0.662251656,1
-125,-127,-2,0.016,1.6,1
-140,-140,0,0,0,0
155,138,-17,-0.109677419,10.96774194,0
-180,-216,-36,0.2,20,1
-155,-165,-10,0.064516129,6.451612903,1
-110,-109,1,-0.009090909,0.909090909,0
-165,-166,-1,0.006060606,0.606060606,1
-130,-151,-21,0.161538462,16.15384615,1
-260,-280,-20,0.076923077,7.692307692,1
-115,-125,-10,0.086956522,8.695652174,1
